,outcome,player,year
3.33,0,Derek Jeter,1995
3.34,0,Derek Jeter,1995
3.35,0,Derek Jeter,1995
4,0,Derek Jeter,1996
4.1,0,Derek Jeter,1996
4.2,0,Derek Jeter,1996
4.3,0,Derek Jeter,1996
4.4,0,Derek Jeter,1996
4.5,0,Derek Jeter,1996
4.6,0,Derek Jeter,1996
4.7,0,Derek Jeter,1996
4.8,0,Derek Jeter,1996
4.9,0,Derek Jeter,1996
4.10,0,Derek Jeter,1996
4.11,0,Derek Jeter,1996
4.12,0,Derek Jeter,1996
4.13,0,Derek Jeter,1996
4.14,0,Derek Jeter,1996
4.15,0,Derek Jeter,1996
4.16,0,Derek Jeter,1996
4.17,0,Derek Jeter,1996
4.18,0,Derek Jeter,1996
4.19,0,Derek Jeter,1996
4.20,0,Derek Jeter,1996
4.21,0,Derek Jeter,1996
4.22,0,Derek Jeter,1996
4.23,0,Derek Jeter,1996
4.24,0,Derek Jeter,1996
4.25,0,Derek Jeter,1996
4.26,0,Derek Jeter,1996
4.27,0,Derek Jeter,1996
4.28,0,Derek Jeter,1996
4.29,0,Derek Jeter,1996
4.30,0,Derek Jeter,1996
4.31,0,Derek Jeter,1996
4.32,0,Derek Jeter,1996
4.33,0,Derek Jeter,1996
4.34,0,Derek Jeter,1996
4.35,0,Derek Jeter,1996
4.36,0,Derek Jeter,1996
4.37,0,Derek Jeter,1996
4.38,0,Derek Jeter,1996
4.39,0,Derek Jeter,1996
4.40,0,Derek Jeter,1996
4.41,0,Derek Jeter,1996
4.42,0,Derek Jeter,1996
4.43,0,Derek Jeter,1996
4.44,0,Derek Jeter,1996
4.45,0,Derek Jeter,1996
4.46,0,Derek Jeter,1996
4.47,0,Derek Jeter,1996
4.48,0,Derek Jeter,1996
4.49,0,Derek Jeter,1996
4.50,0,Derek Jeter,1996
4.51,0,Derek Jeter,1996
4.52,0,Derek Jeter,1996
4.53,0,Derek Jeter,1996
4.54,0,Derek Jeter,1996
4.55,0,Derek Jeter,1996
4.56,0,Derek Jeter,1996
4.57,0,Derek Jeter,1996
4.58,0,Derek Jeter,1996
4.59,0,Derek Jeter,1996
4.60,0,Derek Jeter,1996
4.61,0,Derek Jeter,1996
4.62,0,Derek Jeter,1996
4.63,0,Derek Jeter,1996
4.64,0,Derek Jeter,1996
4.65,0,Derek Jeter,1996
4.66,0,Derek Jeter,1996
4.67,0,Derek Jeter,1996
4.68,0,Derek Jeter,1996
4.69,0,Derek Jeter,1996
4.70,0,Derek Jeter,1996
4.71,0,Derek Jeter,1996
4.72,0,Derek Jeter,1996
4.73,0,Derek Jeter,1996
4.74,0,Derek Jeter,1996
4.75,0,Derek Jeter,1996
4.76,0,Derek Jeter,1996
4.77,0,Derek Jeter,1996
4.78,0,Derek Jeter,1996
4.79,0,Derek Jeter,1996
4.80,0,Derek Jeter,1996
4.81,0,Derek Jeter,1996
4.82,0,Derek Jeter,1996
4.83,0,Derek Jeter,1996
4.84,0,Derek Jeter,1996
4.85,0,Derek Jeter,1996
4.86,0,Derek Jeter,1996
4.87,0,Derek Jeter,1996
4.88,0,Derek Jeter,1996
4.89,0,Derek Jeter,1996
4.90,0,Derek Jeter,1996
4.91,0,Derek Jeter,1996
4.92,0,Derek Jeter,1996
4.93,0,Derek Jeter,1996
4.94,0,Derek Jeter,1996
4.95,0,Derek Jeter,1996
4.96,0,Derek Jeter,1996
4.97,0,Derek Jeter,1996
4.98,0,Derek Jeter,1996
4.99,0,Derek Jeter,1996
4.100,0,Derek Jeter,1996
4.101,0,Derek Jeter,1996
4.102,0,Derek Jeter,1996
4.103,0,Derek Jeter,1996
4.104,0,Derek Jeter,1996
4.105,0,Derek Jeter,1996
4.106,0,Derek Jeter,1996
4.107,0,Derek Jeter,1996
4.108,0,Derek Jeter,1996
4.109,0,Derek Jeter,1996
4.110,0,Derek Jeter,1996
4.111,0,Derek Jeter,1996
4.112,0,Derek Jeter,1996
4.113,0,Derek Jeter,1996
4.114,0,Derek Jeter,1996
4.115,0,Derek Jeter,1996
4.116,0,Derek Jeter,1996
4.117,0,Derek Jeter,1996
4.118,0,Derek Jeter,1996
4.119,0,Derek Jeter,1996
4.120,0,Derek Jeter,1996
4.121,0,Derek Jeter,1996
4.122,0,Derek Jeter,1996
4.123,0,Derek Jeter,1996
4.124,0,Derek Jeter,1996
4.125,0,Derek Jeter,1996
4.126,0,Derek Jeter,1996
4.127,0,Derek Jeter,1996
4.128,0,Derek Jeter,1996
4.129,0,Derek Jeter,1996
4.130,0,Derek Jeter,1996
4.131,0,Derek Jeter,1996
4.132,0,Derek Jeter,1996
4.133,0,Derek Jeter,1996
4.134,0,Derek Jeter,1996
4.135,0,Derek Jeter,1996
4.136,0,Derek Jeter,1996
4.137,0,Derek Jeter,1996
4.138,0,Derek Jeter,1996
4.139,0,Derek Jeter,1996
4.140,0,Derek Jeter,1996
4.141,0,Derek Jeter,1996
4.142,0,Derek Jeter,1996
4.143,0,Derek Jeter,1996
4.144,0,Derek Jeter,1996
4.145,0,Derek Jeter,1996
4.146,0,Derek Jeter,1996
4.147,0,Derek Jeter,1996
4.148,0,Derek Jeter,1996
4.149,0,Derek Jeter,1996
4.150,0,Derek Jeter,1996
4.151,0,Derek Jeter,1996
4.152,0,Derek Jeter,1996
4.153,0,Derek Jeter,1996
4.154,0,Derek Jeter,1996
4.155,0,Derek Jeter,1996
4.156,0,Derek Jeter,1996
4.157,0,Derek Jeter,1996
4.158,0,Derek Jeter,1996
4.159,0,Derek Jeter,1996
4.160,0,Derek Jeter,1996
4.161,0,Derek Jeter,1996
4.162,0,Derek Jeter,1996
4.163,0,Derek Jeter,1996
4.164,0,Derek Jeter,1996
4.165,0,Derek Jeter,1996
4.166,0,Derek Jeter,1996
4.167,0,Derek Jeter,1996
4.168,0,Derek Jeter,1996
4.169,0,Derek Jeter,1996
4.170,0,Derek Jeter,1996
4.171,0,Derek Jeter,1996
4.172,0,Derek Jeter,1996
4.173,0,Derek Jeter,1996
4.174,0,Derek Jeter,1996
4.175,0,Derek Jeter,1996
4.176,0,Derek Jeter,1996
4.177,0,Derek Jeter,1996
4.178,0,Derek Jeter,1996
4.179,0,Derek Jeter,1996
4.180,0,Derek Jeter,1996
4.181,0,Derek Jeter,1996
4.182,0,Derek Jeter,1996
4.183,0,Derek Jeter,1996
4.184,0,Derek Jeter,1996
4.185,0,Derek Jeter,1996
4.186,0,Derek Jeter,1996
4.187,0,Derek Jeter,1996
4.188,0,Derek Jeter,1996
4.189,0,Derek Jeter,1996
4.190,0,Derek Jeter,1996
4.191,0,Derek Jeter,1996
4.192,0,Derek Jeter,1996
4.193,0,Derek Jeter,1996
4.194,0,Derek Jeter,1996
4.195,0,Derek Jeter,1996
4.196,0,Derek Jeter,1996
4.197,0,Derek Jeter,1996
4.198,0,Derek Jeter,1996
4.199,0,Derek Jeter,1996
4.200,0,Derek Jeter,1996
4.201,0,Derek Jeter,1996
4.202,0,Derek Jeter,1996
4.203,0,Derek Jeter,1996
4.204,0,Derek Jeter,1996
4.205,0,Derek Jeter,1996
4.206,0,Derek Jeter,1996
4.207,0,Derek Jeter,1996
4.208,0,Derek Jeter,1996
4.209,0,Derek Jeter,1996
4.210,0,Derek Jeter,1996
4.211,0,Derek Jeter,1996
4.212,0,Derek Jeter,1996
4.213,0,Derek Jeter,1996
4.214,0,Derek Jeter,1996
4.215,0,Derek Jeter,1996
4.216,0,Derek Jeter,1996
4.217,0,Derek Jeter,1996
4.218,0,Derek Jeter,1996
4.219,0,Derek Jeter,1996
4.220,0,Derek Jeter,1996
4.221,0,Derek Jeter,1996
4.222,0,Derek Jeter,1996
4.223,0,Derek Jeter,1996
4.224,0,Derek Jeter,1996
4.225,0,Derek Jeter,1996
4.226,0,Derek Jeter,1996
4.227,0,Derek Jeter,1996
4.228,0,Derek Jeter,1996
4.229,0,Derek Jeter,1996
4.230,0,Derek Jeter,1996
4.231,0,Derek Jeter,1996
4.232,0,Derek Jeter,1996
4.233,0,Derek Jeter,1996
4.234,0,Derek Jeter,1996
4.235,0,Derek Jeter,1996
4.236,0,Derek Jeter,1996
4.237,0,Derek Jeter,1996
4.238,0,Derek Jeter,1996
4.239,0,Derek Jeter,1996
4.240,0,Derek Jeter,1996
4.241,0,Derek Jeter,1996
4.242,0,Derek Jeter,1996
4.243,0,Derek Jeter,1996
4.244,0,Derek Jeter,1996
4.245,0,Derek Jeter,1996
4.246,0,Derek Jeter,1996
4.247,0,Derek Jeter,1996
4.248,0,Derek Jeter,1996
4.249,0,Derek Jeter,1996
4.250,0,Derek Jeter,1996
4.251,0,Derek Jeter,1996
4.252,0,Derek Jeter,1996
4.253,0,Derek Jeter,1996
4.254,0,Derek Jeter,1996
4.255,0,Derek Jeter,1996
4.256,0,Derek Jeter,1996
4.257,0,Derek Jeter,1996
4.258,0,Derek Jeter,1996
4.259,0,Derek Jeter,1996
4.260,0,Derek Jeter,1996
4.261,0,Derek Jeter,1996
4.262,0,Derek Jeter,1996
4.263,0,Derek Jeter,1996
4.264,0,Derek Jeter,1996
4.265,0,Derek Jeter,1996
4.266,0,Derek Jeter,1996
4.267,0,Derek Jeter,1996
4.268,0,Derek Jeter,1996
4.269,0,Derek Jeter,1996
4.270,0,Derek Jeter,1996
4.271,0,Derek Jeter,1996
4.272,0,Derek Jeter,1996
4.273,0,Derek Jeter,1996
4.274,0,Derek Jeter,1996
4.275,0,Derek Jeter,1996
4.276,0,Derek Jeter,1996
4.277,0,Derek Jeter,1996
4.278,0,Derek Jeter,1996
4.279,0,Derek Jeter,1996
4.280,0,Derek Jeter,1996
4.281,0,Derek Jeter,1996
4.282,0,Derek Jeter,1996
4.283,0,Derek Jeter,1996
4.284,0,Derek Jeter,1996
4.285,0,Derek Jeter,1996
4.286,0,Derek Jeter,1996
4.287,0,Derek Jeter,1996
4.288,0,Derek Jeter,1996
4.289,0,Derek Jeter,1996
4.290,0,Derek Jeter,1996
4.291,0,Derek Jeter,1996
4.292,0,Derek Jeter,1996
4.293,0,Derek Jeter,1996
4.294,0,Derek Jeter,1996
4.295,0,Derek Jeter,1996
4.296,0,Derek Jeter,1996
4.297,0,Derek Jeter,1996
4.298,0,Derek Jeter,1996
4.299,0,Derek Jeter,1996
4.300,0,Derek Jeter,1996
4.301,0,Derek Jeter,1996
4.302,0,Derek Jeter,1996
4.303,0,Derek Jeter,1996
4.304,0,Derek Jeter,1996
4.305,0,Derek Jeter,1996
4.306,0,Derek Jeter,1996
4.307,0,Derek Jeter,1996
4.308,0,Derek Jeter,1996
4.309,0,Derek Jeter,1996
4.310,0,Derek Jeter,1996
4.311,0,Derek Jeter,1996
4.312,0,Derek Jeter,1996
4.313,0,Derek Jeter,1996
4.314,0,Derek Jeter,1996
4.315,0,Derek Jeter,1996
4.316,0,Derek Jeter,1996
4.317,0,Derek Jeter,1996
4.318,0,Derek Jeter,1996
4.319,0,Derek Jeter,1996
4.320,0,Derek Jeter,1996
4.321,0,Derek Jeter,1996
4.322,0,Derek Jeter,1996
4.323,0,Derek Jeter,1996
4.324,0,Derek Jeter,1996
4.325,0,Derek Jeter,1996
4.326,0,Derek Jeter,1996
4.327,0,Derek Jeter,1996
4.328,0,Derek Jeter,1996
4.329,0,Derek Jeter,1996
4.330,0,Derek Jeter,1996
4.331,0,Derek Jeter,1996
4.332,0,Derek Jeter,1996
4.333,0,Derek Jeter,1996
4.334,0,Derek Jeter,1996
4.335,0,Derek Jeter,1996
4.336,0,Derek Jeter,1996
4.337,0,Derek Jeter,1996
4.338,0,Derek Jeter,1996
4.339,0,Derek Jeter,1996
4.340,0,Derek Jeter,1996
4.341,0,Derek Jeter,1996
4.342,0,Derek Jeter,1996
4.343,0,Derek Jeter,1996
4.344,0,Derek Jeter,1996
4.345,0,Derek Jeter,1996
4.346,0,Derek Jeter,1996
4.347,0,Derek Jeter,1996
4.348,0,Derek Jeter,1996
4.349,0,Derek Jeter,1996
4.350,0,Derek Jeter,1996
4.351,0,Derek Jeter,1996
4.352,0,Derek Jeter,1996
4.353,0,Derek Jeter,1996
4.354,0,Derek Jeter,1996
4.355,0,Derek Jeter,1996
4.356,0,Derek Jeter,1996
4.357,0,Derek Jeter,1996
4.358,0,Derek Jeter,1996
4.359,0,Derek Jeter,1996
4.360,0,Derek Jeter,1996
4.361,0,Derek Jeter,1996
4.362,0,Derek Jeter,1996
4.363,0,Derek Jeter,1996
4.364,0,Derek Jeter,1996
4.365,0,Derek Jeter,1996
4.366,0,Derek Jeter,1996
4.367,0,Derek Jeter,1996
4.368,0,Derek Jeter,1996
4.369,0,Derek Jeter,1996
4.370,0,Derek Jeter,1996
4.371,0,Derek Jeter,1996
4.372,0,Derek Jeter,1996
4.373,0,Derek Jeter,1996
4.374,0,Derek Jeter,1996
4.375,0,Derek Jeter,1996
4.376,0,Derek Jeter,1996
4.377,0,Derek Jeter,1996
4.378,0,Derek Jeter,1996
4.379,0,Derek Jeter,1996
4.380,0,Derek Jeter,1996
4.381,0,Derek Jeter,1996
4.382,0,Derek Jeter,1996
4.383,0,Derek Jeter,1996
4.384,0,Derek Jeter,1996
4.385,0,Derek Jeter,1996
4.386,0,Derek Jeter,1996
4.387,0,Derek Jeter,1996
4.388,0,Derek Jeter,1996
4.389,0,Derek Jeter,1996
4.390,0,Derek Jeter,1996
4.391,0,Derek Jeter,1996
4.392,0,Derek Jeter,1996
4.393,0,Derek Jeter,1996
4.394,0,Derek Jeter,1996
4.395,0,Derek Jeter,1996
4.396,0,Derek Jeter,1996
4.397,0,Derek Jeter,1996
4.398,0,Derek Jeter,1996
5,1,David Justice,1995
5.1,1,David Justice,1995
5.2,1,David Justice,1995
5.3,1,David Justice,1995
5.4,1,David Justice,1995
5.5,1,David Justice,1995
5.6,1,David Justice,1995
5.7,1,David Justice,1995
5.8,1,David Justice,1995
5.9,1,David Justice,1995
5.10,1,David Justice,1995
5.11,1,David Justice,1995
5.12,1,David Justice,1995
5.13,1,David Justice,1995
5.14,1,David Justice,1995
5.15,1,David Justice,1995
5.16,1,David Justice,1995
5.17,1,David Justice,1995
5.18,1,David Justice,1995
5.19,1,David Justice,1995
5.20,1,David Justice,1995
5.21,1,David Justice,1995
5.22,1,David Justice,1995
5.23,1,David Justice,1995
5.24,1,David Justice,1995
5.25,1,David Justice,1995
5.26,1,David Justice,1995
5.27,1,David Justice,1995
5.28,1,David Justice,1995
5.29,1,David Justice,1995
5.30,1,David Justice,1995
5.31,1,David Justice,1995
5.32,1,David Justice,1995
5.33,1,David Justice,1995
5.34,1,David Justice,1995
5.35,1,David Justice,1995
5.36,1,David Justice,1995
5.37,1,David Justice,1995
5.38,1,David Justice,1995
5.39,1,David Justice,1995
5.40,1,David Justice,1995
5.41,1,David Justice,1995
5.42,1,David Justice,1995
5.43,1,David Justice,1995
5.44,1,David Justice,1995
5.45,1,David Justice,1995
5.46,1,David Justice,1995
5.47,1,David Justice,1995
5.48,1,David Justice,1995
5.49,1,David Justice,1995
5.50,1,David Justice,1995
5.51,1,David Justice,1995
5.52,1,David Justice,1995
5.53,1,David Justice,1995
5.54,1,David Justice,1995
5.55,1,David Justice,1995
5.56,1,David Justice,1995
5.57,1,David Justice,1995
5.58,1,David Justice,1995
5.59,1,David Justice,1995
5.60,1,David Justice,1995
5.61,1,David Justice,1995
5.62,1,David Justice,1995
5.63,1,David Justice,1995
5.64,1,David Justice,1995
5.65,1,David Justice,1995
5.66,1,David Justice,1995
5.67,1,David Justice,1995
5.68,1,David Justice,1995
5.69,1,David Justice,1995
5.70,1,David Justice,1995
5.71,1,David Justice,1995
5.72,1,David Justice,1995
5.73,1,David Justice,1995
5.74,1,David Justice,1995
5.75,1,David Justice,1995
5.76,1,David Justice,1995
5.77,1,David Justice,1995
5.78,1,David Justice,1995
5.79,1,David Justice,1995
5.80,1,David Justice,1995
5.81,1,David Justice,1995
5.82,1,David Justice,1995
5.83,1,David Justice,1995
5.84,1,David Justice,1995
5.85,1,David Justice,1995
5.86,1,David Justice,1995
5.87,1,David Justice,1995
5.88,1,David Justice,1995
5.89,1,David Justice,1995
5.90,1,David Justice,1995
5.91,1,David Justice,1995
5.92,1,David Justice,1995
5.93,1,David Justice,1995
5.94,1,David Justice,1995
5.95,1,David Justice,1995
5.96,1,David Justice,1995
5.97,1,David Justice,1995
5.98,1,David Justice,1995
5.99,1,David Justice,1995
5.100,1,David Justice,1995
5.101,1,David Justice,1995
5.102,1,David Justice,1995
5.103,1,David Justice,1995
6,1,David Justice,1996
6.1,1,David Justice,1996
6.2,1,David Justice,1996
6.3,1,David Justice,1996
6.4,1,David Justice,1996
6.5,1,David Justice,1996
6.6,1,David Justice,1996
6.7,1,David Justice,1996
6.8,1,David Justice,1996
6.9,1,David Justice,1996
6.10,1,David Justice,1996
6.11,1,David Justice,1996
6.12,1,David Justice,1996
6.13,1,David Justice,1996
6.14,1,David Justice,1996
6.15,1,David Justice,1996
6.16,1,David Justice,1996
6.17,1,David Justice,1996
6.18,1,David Justice,1996
6.19,1,David Justice,1996
6.20,1,David Justice,1996
6.21,1,David Justice,1996
6.22,1,David Justice,1996
6.23,1,David Justice,1996
6.24,1,David Justice,1996
6.25,1,David Justice,1996
6.26,1,David Justice,1996
6.27,1,David Justice,1996
6.28,1,David Justice,1996
6.29,1,David Justice,1996
6.30,1,David Justice,1996
6.31,1,David Justice,1996
6.32,1,David Justice,1996
6.33,1,David Justice,1996
6.34,1,David Justice,1996
6.35,1,David Justice,1996
6.36,1,David Justice,1996
6.37,1,David Justice,1996
6.38,1,David Justice,1996
6.39,1,David Justice,1996
6.40,1,David Justice,1996
6.41,1,David Justice,1996
6.42,1,David Justice,1996
6.43,1,David Justice,1996
6.44,1,David Justice,1996
7,0,David Justice,1995
7.1,0,David Justice,1995
7.2,0,David Justice,1995
7.3,0,David Justice,1995
7.4,0,David Justice,1995
7.5,0,David Justice,1995
7.6,0,David Justice,1995
7.7,0,David Justice,1995
7.8,0,David Justice,1995
7.9,0,David Justice,1995
7.10,0,David Justice,1995
7.11,0,David Justice,1995
7.12,0,David Justice,1995
7.13,0,David Justice,1995
7.14,0,David Justice,1995
7.15,0,David Justice,1995
7.16,0,David Justice,1995
7.17,0,David Justice,1995
7.18,0,David Justice,1995
7.19,0,David Justice,1995
7.20,0,David Justice,1995
7.21,0,David Justice,1995
7.22,0,David Justice,1995
7.23,0,David Justice,1995
7.24,0,David Justice,1995
7.25,0,David Justice,1995
7.26,0,David Justice,1995
7.27,0,David Justice,1995
7.28,0,David Justice,1995
7.29,0,David Justice,1995
7.30,0,David Justice,1995
7.31,0,David Justice,1995
7.32,0,David Justice,1995
7.33,0,David Justice,1995
7.34,0,David Justice,1995
7.35,0,David Justice,1995
7.36,0,David Justice,1995
7.37,0,David Justice,1995
7.38,0,David Justice,1995
7.39,0,David Justice,1995
7.40,0,David Justice,1995
7.41,0,David Justice,1995
7.42,0,David Justice,1995
7.43,0,David Justice,1995
7.44,0,David Justice,1995
7.45,0,David Justice,1995
7.46,0,David Justice,1995
7.47,0,David Justice,1995
7.48,0,David Justice,1995
7.49,0,David Justice,1995
7.50,0,David Justice,1995
7.51,0,David Justice,1995
7.52,0,David Justice,1995
7.53,0,David Justice,1995
7.54,0,David Justice,1995
7.55,0,David Justice,1995
7.56,0,David Justice,1995
7.57,0,David Justice,1995
7.58,0,David Justice,1995
7.59,0,David Justice,1995
7.60,0,David Justice,1995
7.61,0,David Justice,1995
7.62,0,David Justice,1995
7.63,0,David Justice,1995
7.64,0,David Justice,1995
7.65,0,David Justice,1995
7.66,0,David Justice,1995
7.67,0,David Justice,1995
7.68,0,David Justice,1995
7.69,0,David Justice,1995
7.70,0,David Justice,1995
7.71,0,David Justice,1995
7.72,0,David Justice,1995
7.73,0,David Justice,1995
7.74,0,David Justice,1995
7.75,0,David Justice,1995
7.76,0,David Justice,1995
7.77,0,David Justice,1995
7.78,0,David Justice,1995
7.79,0,David Justice,1995
7.80,0,David Justice,1995
7.81,0,David Justice,1995
7.82,0,David Justice,1995
7.83,0,David Justice,1995
7.84,0,David Justice,1995
